name	pool_size	runtime_sec
pairs_9d87f7e	332	24.01
pairs_9dd0262	345	26.23
pairs_9f564d2	317	26.47
pairs_9ffb48e	351	27.74
pairs_a0fc0d6	348	27.3
pairs_a1599ac	320	25.97
pairs_a34862b	324	27.97
pairs_a36878e	336	24.82
pairs_a395ff5	344	26.87
pairs_a63fa8f	354	26.3
pairs_a699779	331	24.2
pairs_a7a385a	379	31.22
pairs_a8211c0	346	30.189999999999998
pairs_aa31a8b	331	26.02
pairs_ab8910d	350	24.200000000000003
pairs_abc9bfb	352	24.47
pairs_ac082ef	364	26.79
pairs_ac2a506	335	24.25
pairs_acbfa74	336	24.06
pairs_ad14c6e	356	23.990000000000002
pairs_ae700fc	317	27.580000000000002
pairs_af1f128	368	26.89
pairs_af365e5	320	24.22
pairs_af9d29e	358	27.580000000000002
pairs_affa69f	353	29.28
pairs_b0118dd	328	25.52
pairs_b0f61d5	371	31.39
pairs_b276b37	373	30.119999999999997
pairs_b35c4e8	363	26.619999999999997
pairs_b3dae27	365	27.79
pairs_b50857e	339	29.16
pairs_b5a0836	354	29.410000000000004
pairs_b844694	322	26.96
pairs_b950e15	345	29.65
pairs_ba79906	357	27.98
pairs_bb8a01d	346	26.36
pairs_bc10a92	345	24.11
pairs_bc4518d	335	24.279999999999998
pairs_be76a4d	343	26.759999999999998
pairs_bf285bd	374	28.29
pairs_bf9f029	334	28.05
pairs_bfacbfd	335	27.040000000000003
pairs_bfca262	353	27.53
pairs_c1d0f7d	364	26.0
pairs_c34378a	368	31.089999999999996
pairs_c3e5c4c	342	27.43
pairs_c4188e0	363	29.340000000000003
pairs_c8d7e4d	329	26.8
pairs_c9c29f6	359	24.32
pairs_cb1c5d6	328	24.42
pairs_cb904f2	373	24.33
pairs_cc15980	361	24.18
pairs_cc18d22	329	23.849999999999998
pairs_cc472ea	355	30.83
pairs_cc624c1	340	26.91
pairs_cf24856	337	27.5
pairs_d017830	358	25.869999999999997
pairs_d04097c	361	27.98
pairs_d1480c4	317	26.650000000000002
pairs_d3ae760	355	28.74
pairs_d4583e1	374	31.200000000000003
pairs_d45c7e4	353	26.33
pairs_d489ff5	375	26.85
pairs_d4eab2c	352	28.689999999999998
pairs_d626fe5	349	25.85
pairs_d65e569	325	29.259999999999998
pairs_d70c84f	350	28.36
pairs_d80ade2	351	24.369999999999997
pairs_d86e464	373	28.279999999999998
pairs_d90d9c3	349	24.549999999999997
pairs_da3a9bb	360	26.2
pairs_dbc339a	380	30.18
pairs_dbe7c34	321	27.29
pairs_dc2f6bf	321	27.880000000000003
pairs_dc88f96	348	28.64
pairs_dc99ea9	327	27.83
pairs_dcff713	371	27.2
pairs_dd52657	376	29.18
pairs_de08082	371	24.35
pairs_dea949b	359	24.31
pairs_dfee8f5	374	28.229999999999997
pairs_e07067d	360	24.659999999999997
pairs_e2337a9	330	28.689999999999998
pairs_e250c15	325	26.81
pairs_e3f3057	332	25.2
pairs_e532f2e	370	24.29
pairs_e539a35	350	30.48
pairs_e5b91dc	351	23.84
pairs_e6af153	324	27.75
pairs_e70e9b0	356	26.92
pairs_e85aaf6	344	28.93
pairs_e8fed47	366	28.62
pairs_e940d78	364	30.21
pairs_eaa786e	347	24.05
pairs_eaf7cce	360	28.32
pairs_eb5c693	375	24.43
pairs_ebd773c	330	25.040000000000003
pairs_ec3f82e	345	24.64
pairs_ec45957	342	28.799999999999997
pairs_ecc4cbb	324	23.78
pairs_ed8f9c2	343	26.0
pairs_ef4bc14	359	29.54
pairs_ef6ef0b	380	29.83
pairs_efb274d	337	26.409999999999997
pairs_efdd5cb	341	26.77
pairs_efe7d43	362	26.79
pairs_f09a37a	359	30.68
pairs_f2245b9	345	24.64
pairs_f22e438	365	25.56
pairs_f327f2b	361	24.32
pairs_f333579	343	24.209999999999997
pairs_f37dd94	358	26.75
pairs_f4d521b	359	26.13
pairs_f51ee3c	322	29.14
pairs_f5aacc6	338	27.660000000000004
pairs_f5bdfc6	359	29.39
pairs_f5e2c33	344	30.439999999999998
pairs_f673ffe	348	29.5
pairs_f70323b	356	26.1
pairs_f8246a2	345	26.6
pairs_f87d174	318	24.29
pairs_fa863d0	374	26.950000000000003
pairs_fa8db2c	357	24.68
pairs_fb9564e	360	25.36
pairs_fcec4b3	319	28.8
pairs_fd7d3ac	349	28.57
pairs_fd9c28c	337	23.93
pairs_fda6d93	330	29.369999999999997
pairs_fe6e136	376	24.82
pairs_fecaa3a	380	26.7
pairs_fecb451	354	29.32
pairs_fedd0ce	378	29.04
pairs_ffa4306	325	23.79
pairs_6a76180	2012	348.27
pairs_d3faac3	2011	322.59999999999997
pairs_dd930b8	2016	318.05
pairs_fa56654	2013	315.93
pools_2k_10c16e1	2011	312.28
pools_2k_1192215	2014	321.76
pools_2k_164e6b4	2014	338.54999999999995
pools_2k_22d4d4a	2013	353.18
pools_2k_305ebc4	2010	343.24
pools_2k_512a3f7	2011	337.91999999999996
pools_2k_6004693	2015	342.6
pools_2k_7b6561a	2011	337.12
pools_2k_8ea399e	2015	339.78
pools_2k_94e878f	2014	341.01
pools_2k_9b2588f	2015	336.59000000000003
pools_2k_9dae90d	2015	333.82
pools_2k_9f74ca9	2016	326.56
pools_2k_b696c3f	2016	346.57
pools_2k_b6c2ef9	2011	325.54
pools_2k_bbd7352	2010	322.51
pools_2k_c719fa4	2015	341.5
pools_2k_dda4a96	2014	345.51
pools_2k_e51f1a1	2010	343.02
pools_2k_e67a937	2012	339.71
pools_2k_f98b1d9	2012	353.29999999999995
pools_2k_ff4fc27	2013	336.37
pairs_007a3ac	636	86.81
pairs_0578cc3	651	58.510000000000005
pairs_05abed7	679	57.839999999999996
pairs_06ade5d	648	55.36
pairs_06de4a2	682	56.73
pairs_076761c	684	58.879999999999995
pairs_07e2970	631	53.94
pairs_08a7afc	645	55.97
pairs_09a9c6a	647	49.900000000000006
pairs_09ff05c	633	46.33
pairs_0d6680d	663	52.95
pairs_0f336c4	630	46.510000000000005
pairs_11ac9d5	626	53.92
pairs_11c4ebd	649	58.78
pairs_139091f	644	55.129999999999995
pairs_13a9691	663	46.6
pairs_14fa476	683	47.339999999999996
pairs_15732e8	667	51.53
pairs_1586899	678	58.230000000000004
pairs_15d53c9	659	50.94
pairs_15d71ce	658	57.87
pairs_15e5cd5	634	49.46
pairs_163de9b	637	57.9
pairs_1646532	625	46.24
